record,beat_index,sampling_frequency,target_onset,target_fiducial,target_offset,predicted_onset,predicted_offset,success,onset_error_ms,offset_error_ms,duration_error_ms,joint_absolute_error_ms,family,method,channel,guide_parameter,selection_ratio
sel117,1,250.0,150789,150799,150807,150764,150826,1,-100.0,76.0,176.0,88.0,hcrd,hcrd_quadratic,0,100.0,0.1
sel117,1,250.0,150789,150799,150807,150764,150820,1,-100.0,52.0,152.0,76.0,hcrd,hcrd_quadratic,0,1000.0,0.1
sel117,1,250.0,150789,150799,150807,150789,150810,1,0.0,12.0,12.0,6.0,hcrd,hcrd_raw,0,0.0,0.2
sel117,1,250.0,150789,150799,150807,150783,150810,1,-24.0,12.0,36.0,18.0,hcrd,hcrd_gaussian,0,1.0,0.2
sel117,1,250.0,150789,150799,150807,150783,150805,1,-24.0,-8.0,16.0,16.0,hcrd,hcrd_gaussian,0,2.0,0.2
sel117,1,250.0,150789,150799,150807,150769,150808,1,-80.0,4.0,84.0,42.0,hcrd,hcrd_gaussian,0,4.0,0.2
sel117,1,250.0,150789,150799,150807,150783,150810,1,-24.0,12.0,36.0,18.0,hcrd,hcrd_quadratic,0,1.0,0.2
sel117,1,250.0,150789,150799,150807,150783,150806,1,-24.0,-4.0,20.0,14.0,hcrd,hcrd_quadratic,0,10.0,0.2
sel117,1,250.0,150789,150799,150807,150764,150809,1,-100.0,8.0,108.0,54.0,hcrd,hcrd_quadratic,0,100.0,0.2
sel117,1,250.0,150789,150799,150807,150764,150820,1,-100.0,52.0,152.0,76.0,hcrd,hcrd_quadratic,0,1000.0,0.2
sel117,1,250.0,150789,150799,150807,150793,150810,1,16.0,12.0,-4.0,14.0,hcrd,hcrd_raw,0,0.0,0.3
sel117,1,250.0,150789,150799,150807,150783,150804,1,-24.0,-12.0,12.0,18.0,hcrd,hcrd_gaussian,0,1.0,0.3
sel117,1,250.0,150789,150799,150807,150783,150805,1,-24.0,-8.0,16.0,16.0,hcrd,hcrd_gaussian,0,2.0,0.3
sel117,1,250.0,150789,150799,150807,150769,150808,1,-80.0,4.0,84.0,42.0,hcrd,hcrd_gaussian,0,4.0,0.3
sel117,1,250.0,150789,150799,150807,150783,150804,1,-24.0,-12.0,12.0,18.0,hcrd,hcrd_quadratic,0,1.0,0.3
sel117,1,250.0,150789,150799,150807,150783,150806,1,-24.0,-4.0,20.0,14.0,hcrd,hcrd_quadratic,0,10.0,0.3
sel117,1,250.0,150789,150799,150807,150764,150809,1,-100.0,8.0,108.0,54.0,hcrd,hcrd_quadratic,0,100.0,0.3
sel117,1,250.0,150789,150799,150807,150764,150820,1,-100.0,52.0,152.0,76.0,hcrd,hcrd_quadratic,0,1000.0,0.3
sel117,1,250.0,150789,150799,150807,150787,150809,1,-8.0,8.0,16.0,8.0,derivative,derivative_threshold,0,1.0,0.05
sel117,1,250.0,150789,150799,150807,150788,150808,1,-4.0,4.0,8.0,4.0,derivative,derivative_threshold,0,1.0,0.1
sel117,1,250.0,150789,150799,150807,150796,150802,1,28.0,-20.0,-48.0,24.0,derivative,derivative_threshold,0,1.0,0.2
sel117,1,250.0,150789,150799,150807,150796,150802,1,28.0,-20.0,-48.0,24.0,derivative,derivative_threshold,0,1.0,0.3
sel117,1,250.0,150789,150799,150807,150785,150803,1,-16.0,-16.0,0.0,16.0,derivative,derivative_threshold,0,2.0,0.05
sel117,1,250.0,150789,150799,150807,150786,150803,1,-12.0,-16.0,-4.0,14.0,derivative,derivative_threshold,0,2.0,0.1
sel117,1,250.0,150789,150799,150807,150795,150803,1,24.0,-16.0,-40.0,20.0,derivative,derivative_threshold,0,2.0,0.2
sel117,1,250.0,150789,150799,150807,150796,150802,1,28.0,-20.0,-48.0,24.0,derivative,derivative_threshold,0,2.0,0.3
sel117,1,250.0,150789,150799,150807,150781,150805,1,-32.0,-8.0,24.0,20.0,derivative,derivative_threshold,0,4.0,0.05
sel117,1,250.0,150789,150799,150807,150795,150805,1,24.0,-8.0,-32.0,16.0,derivative,derivative_threshold,0,4.0,0.1
sel117,1,250.0,150789,150799,150807,150795,150805,1,24.0,-8.0,-32.0,16.0,derivative,derivative_threshold,0,4.0,0.2
sel117,1,250.0,150789,150799,150807,150795,150804,1,24.0,-12.0,-36.0,18.0,derivative,derivative_threshold,0,4.0,0.3
sel117,1,250.0,150789,150799,150807,150785,150802,1,-16.0,-20.0,-4.0,18.0,official_ecgpuwave,official_pu1,1,0.0,0.0
sel117,1,250.0,150789,150799,150807,150789,150807,1,0.0,0.0,0.0,0.0,hcrd,hcrd_raw,1,0.0,0.1
sel117,1,250.0,150789,150799,150807,150789,150808,1,0.0,4.0,4.0,2.0,hcrd,hcrd_gaussian,1,1.0,0.1
sel117,1,250.0,150789,150799,150807,150783,150806,1,-24.0,-4.0,20.0,14.0,hcrd,hcrd_gaussian,1,2.0,0.1
sel117,1,250.0,150789,150799,150807,150769,150830,1,-80.0,92.0,172.0,86.0,hcrd,hcrd_gaussian,1,4.0,0.1
sel117,1,250.0,150789,150799,150807,150789,150805,1,0.0,-8.0,-8.0,4.0,hcrd,hcrd_quadratic,1,1.0,0.1
sel117,1,250.0,150789,150799,150807,150784,150807,1,-20.0,0.0,20.0,10.0,hcrd,hcrd_quadratic,1,10.0,0.1
sel117,1,250.0,150789,150799,150807,150764,150820,1,-100.0,52.0,152.0,76.0,hcrd,hcrd_quadratic,1,100.0,0.1
sel117,1,250.0,150789,150799,150807,150764,150841,1,-100.0,136.0,236.0,118.0,hcrd,hcrd_quadratic,1,1000.0,0.1
sel117,1,250.0,150789,150799,150807,150789,150804,1,0.0,-12.0,-12.0,6.0,hcrd,hcrd_raw,1,0.0,0.2
sel117,1,250.0,150789,150799,150807,150789,150804,1,0.0,-12.0,-12.0,6.0,hcrd,hcrd_gaussian,1,1.0,0.2
sel117,1,250.0,150789,150799,150807,150783,150806,1,-24.0,-4.0,20.0,14.0,hcrd,hcrd_gaussian,1,2.0,0.2
sel117,1,250.0,150789,150799,150807,150769,150830,1,-80.0,92.0,172.0,86.0,hcrd,hcrd_gaussian,1,4.0,0.2
sel117,1,250.0,150789,150799,150807,150789,150805,1,0.0,-8.0,-8.0,4.0,hcrd,hcrd_quadratic,1,1.0,0.2
sel117,1,250.0,150789,150799,150807,150784,150807,1,-20.0,0.0,20.0,10.0,hcrd,hcrd_quadratic,1,10.0,0.2
sel117,1,250.0,150789,150799,150807,150764,150820,1,-100.0,52.0,152.0,76.0,hcrd,hcrd_quadratic,1,100.0,0.2
sel117,1,250.0,150789,150799,150807,150764,150841,1,-100.0,136.0,236.0,118.0,hcrd,hcrd_quadratic,1,1000.0,0.2
sel117,1,250.0,150789,150799,150807,150789,150804,1,0.0,-12.0,-12.0,6.0,hcrd,hcrd_raw,1,0.0,0.3
sel117,1,250.0,150789,150799,150807,150794,150804,1,20.0,-12.0,-32.0,16.0,hcrd,hcrd_gaussian,1,1.0,0.3
sel117,1,250.0,150789,150799,150807,150783,150806,1,-24.0,-4.0,20.0,14.0,hcrd,hcrd_gaussian,1,2.0,0.3
sel117,1,250.0,150789,150799,150807,150769,150830,1,-80.0,92.0,172.0,86.0,hcrd,hcrd_gaussian,1,4.0,0.3
sel117,1,250.0,150789,150799,150807,150789,150805,1,0.0,-8.0,-8.0,4.0,hcrd,hcrd_quadratic,1,1.0,0.3
sel117,1,250.0,150789,150799,150807,150784,150807,1,-20.0,0.0,20.0,10.0,hcrd,hcrd_quadratic,1,10.0,0.3
sel117,1,250.0,150789,150799,150807,150764,150820,1,-100.0,52.0,152.0,76.0,hcrd,hcrd_quadratic,1,100.0,0.3
sel117,1,250.0,150789,150799,150807,150764,150841,1,-100.0,136.0,236.0,118.0,hcrd,hcrd_quadratic,1,1000.0,0.3
sel117,1,250.0,150789,150799,150807,150789,150803,1,0.0,-16.0,-16.0,8.0,derivative,derivative_threshold,1,1.0,0.05
sel117,1,250.0,150789,150799,150807,150797,150803,1,32.0,-16.0,-48.0,24.0,derivative,derivative_threshold,1,1.0,0.1
sel117,1,250.0,150789,150799,150807,150797,150803,1,32.0,-16.0,-48.0,24.0,derivative,derivative_threshold,1,1.0,0.2
sel117,1,250.0,150789,150799,150807,150797,150803,1,32.0,-16.0,-48.0,24.0,derivative,derivative_threshold,1,1.0,0.3
sel117,1,250.0,150789,150799,150807,150797,150805,1,32.0,-8.0,-40.0,20.0,derivative,derivative_threshold,1,2.0,0.05
sel117,1,250.0,150789,150799,150807,150797,150804,1,32.0,-12.0,-44.0,22.0,derivative,derivative_threshold,1,2.0,0.1
sel117,1,250.0,150789,150799,150807,150797,150804,1,32.0,-12.0,-44.0,22.0,derivative,derivative_threshold,1,2.0,0.2
sel117,1,250.0,150789,150799,150807,150797,150804,1,32.0,-12.0,-44.0,22.0,derivative,derivative_threshold,1,2.0,0.3
sel117,1,250.0,150789,150799,150807,150782,150812,1,-28.0,20.0,48.0,24.0,derivative,derivative_threshold,1,4.0,0.05
sel117,1,250.0,150789,150799,150807,,,0,nan,nan,nan,160.0,derivative,derivative_threshold,1,4.0,0.1
sel117,1,250.0,150789,150799,150807,,,0,nan,nan,nan,160.0,derivative,derivative_threshold,1,4.0,0.2
sel117,1,250.0,150789,150799,150807,,,0,nan,nan,nan,160.0,derivative,derivative_threshold,1,4.0,0.3
sel117,2,250.0,151074,151088,151097,151070,151099,1,-16.0,8.0,24.0,12.0,official_ecgpuwave,official_pu0,0,0.0,0.0
sel117,2,250.0,151074,151088,151097,151075,151100,1,4.0,12.0,8.0,8.0,hcrd,hcrd_raw,0,0.0,0.1
sel117,2,250.0,151074,151088,151097,151076,151103,1,8.0,24.0,16.0,16.0,hcrd,hcrd_gaussian,0,1.0,0.1
sel117,2,250.0,151074,151088,151097,151075,151104,1,4.0,28.0,24.0,16.0,hcrd,hcrd_gaussian,0,2.0,0.1
sel117,2,250.0,151074,151088,151097,151059,151118,1,-60.0,84.0,144.0,72.0,hcrd,hcrd_gaussian,0,4.0,0.1
sel117,2,250.0,151074,151088,151097,151076,151103,1,8.0,24.0,16.0,16.0,hcrd,hcrd_quadratic,0,1.0,0.1
sel117,2,250.0,151074,151088,151097,151075,151104,1,4.0,28.0,24.0,16.0,hcrd,hcrd_quadratic,0,10.0,0.1
sel117,2,250.0,151074,151088,151097,151053,151118,1,-84.0,84.0,168.0,84.0,hcrd,hcrd_quadratic,0,100.0,0.1
sel117,2,250.0,151074,151088,151097,151053,151121,1,-84.0,96.0,180.0,90.0,hcrd,hcrd_quadratic,0,1000.0,0.1
sel117,2,250.0,151074,151088,151097,151075,151094,1,4.0,-12.0,-16.0,8.0,hcrd,hcrd_raw,0,0.0,0.2
sel117,2,250.0,151074,151088,151097,151076,151103,1,8.0,24.0,16.0,16.0,hcrd,hcrd_gaussian,0,1.0,0.2
sel117,2,250.0,151074,151088,151097,151075,151104,1,4.0,28.0,24.0,16.0,hcrd,hcrd_gaussian,0,2.0,0.2
sel117,2,250.0,151074,151088,151097,151059,151118,1,-60.0,84.0,144.0,72.0,hcrd,hcrd_gaussian,0,4.0,0.2
sel117,2,250.0,151074,151088,151097,151076,151103,1,8.0,24.0,16.0,16.0,hcrd,hcrd_quadratic,0,1.0,0.2
sel117,2,250.0,151074,151088,151097,151075,151104,1,4.0,28.0,24.0,16.0,hcrd,hcrd_quadratic,0,10.0,0.2
sel117,2,250.0,151074,151088,151097,151053,151118,1,-84.0,84.0,168.0,84.0,hcrd,hcrd_quadratic,0,100.0,0.2
sel117,2,250.0,151074,151088,151097,151053,151105,1,-84.0,32.0,116.0,58.0,hcrd,hcrd_quadratic,0,1000.0,0.2
sel117,2,250.0,151074,151088,151097,151075,151094,1,4.0,-12.0,-16.0,8.0,hcrd,hcrd_raw,0,0.0,0.3
sel117,2,250.0,151074,151088,151097,151076,151095,1,8.0,-8.0,-16.0,8.0,hcrd,hcrd_gaussian,0,1.0,0.3
sel117,2,250.0,151074,151088,151097,151075,151096,1,4.0,-4.0,-8.0,4.0,hcrd,hcrd_gaussian,0,2.0,0.3
sel117,2,250.0,151074,151088,151097,151059,151118,1,-60.0,84.0,144.0,72.0,hcrd,hcrd_gaussian,0,4.0,0.3
sel117,2,250.0,151074,151088,151097,151076,151095,1,8.0,-8.0,-16.0,8.0,hcrd,hcrd_quadratic,0,1.0,0.3
sel117,2,250.0,151074,151088,151097,151075,151096,1,4.0,-4.0,-8.0,4.0,hcrd,hcrd_quadratic,0,10.0,0.3
sel117,2,250.0,151074,151088,151097,151053,151118,1,-84.0,84.0,168.0,84.0,hcrd,hcrd_quadratic,0,100.0,0.3
sel117,2,250.0,151074,151088,151097,151053,151105,1,-84.0,32.0,116.0,58.0,hcrd,hcrd_quadratic,0,1000.0,0.3
sel117,2,250.0,151074,151088,151097,151078,151101,1,16.0,16.0,0.0,16.0,derivative,derivative_threshold,0,1.0,0.05
sel117,2,250.0,151074,151088,151097,151079,151101,1,20.0,16.0,-4.0,18.0,derivative,derivative_threshold,0,1.0,0.1
sel117,2,250.0,151074,151088,151097,151086,151092,1,48.0,-20.0,-68.0,34.0,derivative,derivative_threshold,0,1.0,0.2
sel117,2,250.0,151074,151088,151097,151086,151092,1,48.0,-20.0,-68.0,34.0,derivative,derivative_threshold,0,1.0,0.3
sel117,2,250.0,151074,151088,151097,151077,151093,1,12.0,-16.0,-28.0,14.0,derivative,derivative_threshold,0,2.0,0.05
sel117,2,250.0,151074,151088,151097,151077,151093,1,12.0,-16.0,-28.0,14.0,derivative,derivative_threshold,0,2.0,0.1
sel117,2,250.0,151074,151088,151097,151085,151093,1,44.0,-16.0,-60.0,30.0,derivative,derivative_threshold,0,2.0,0.2
sel117,2,250.0,151074,151088,151097,151086,151093,1,48.0,-16.0,-64.0,32.0,derivative,derivative_threshold,0,2.0,0.3
sel117,2,250.0,151074,151088,151097,151071,151114,1,-12.0,68.0,80.0,40.0,derivative,derivative_threshold,0,4.0,0.05
sel117,2,250.0,151074,151088,151097,151084,151095,1,40.0,-8.0,-48.0,24.0,derivative,derivative_threshold,0,4.0,0.1
sel117,2,250.0,151074,151088,151097,151085,151094,1,44.0,-12.0,-56.0,28.0,derivative,derivative_threshold,0,4.0,0.2
sel117,2,250.0,151074,151088,151097,151085,151094,1,44.0,-12.0,-56.0,28.0,derivative,derivative_threshold,0,4.0,0.3
sel117,2,250.0,151074,151088,151097,151077,151097,1,12.0,0.0,-12.0,6.0,official_ecgpuwave,official_pu1,1,0.0,0.0
sel117,2,250.0,151074,151088,151097,151080,151099,1,24.0,8.0,-16.0,16.0,hcrd,hcrd_raw,1,0.0,0.1
sel117,2,250.0,151074,151088,151097,151075,151100,1,4.0,12.0,8.0,8.0,hcrd,hcrd_gaussian,1,1.0,0.1
sel117,2,250.0,151074,151088,151097,151075,151096,1,4.0,-4.0,-8.0,4.0,hcrd,hcrd_gaussian,1,2.0,0.1
sel117,2,250.0,151074,151088,151097,151058,151101,1,-64.0,16.0,80.0,40.0,hcrd,hcrd_gaussian,1,4.0,0.1
sel117,2,250.0,151074,151088,151097,151076,151100,1,8.0,12.0,4.0,10.0,hcrd,hcrd_quadratic,1,1.0,0.1
sel117,2,250.0,151074,151088,151097,151075,151097,1,4.0,0.0,-4.0,2.0,hcrd,hcrd_quadratic,1,10.0,0.1
sel117,2,250.0,151074,151088,151097,151065,151103,1,-36.0,24.0,60.0,30.0,hcrd,hcrd_quadratic,1,100.0,0.1
sel117,2,250.0,151074,151088,151097,151053,151116,1,-84.0,76.0,160.0,80.0,hcrd,hcrd_quadratic,1,1000.0,0.1
sel117,2,250.0,151074,151088,151097,151080,151095,1,24.0,-8.0,-32.0,16.0,hcrd,hcrd_raw,1,0.0,0.2
sel117,2,250.0,151074,151088,151097,151075,151095,1,4.0,-8.0,-12.0,6.0,hcrd,hcrd_gaussian,1,1.0,0.2
sel117,2,250.0,151074,151088,151097,151075,151096,1,4.0,-4.0,-8.0,4.0,hcrd,hcrd_gaussian,1,2.0,0.2
sel117,2,250.0,151074,151088,151097,151058,151101,1,-64.0,16.0,80.0,40.0,hcrd,hcrd_gaussian,1,4.0,0.2
sel117,2,250.0,151074,151088,151097,151076,151100,1,8.0,12.0,4.0,10.0,hcrd,hcrd_quadratic,1,1.0,0.2
sel117,2,250.0,151074,151088,151097,151075,151097,1,4.0,0.0,-4.0,2.0,hcrd,hcrd_quadratic,1,10.0,0.2
sel117,2,250.0,151074,151088,151097,151065,151103,1,-36.0,24.0,60.0,30.0,hcrd,hcrd_quadratic,1,100.0,0.2
sel117,2,250.0,151074,151088,151097,151053,151116,1,-84.0,76.0,160.0,80.0,hcrd,hcrd_quadratic,1,1000.0,0.2
