record,beat_index,method,sampling_frequency,target_onset,target_fiducial,target_offset,predicted_onset,predicted_offset,success,onset_error_ms,offset_error_ms,duration_error_ms,joint_absolute_error_ms
sel52,17,hcrd_quadratic,250.0,152988,153000,153012,152987,153015,1,-4.0,12.0,16.0,8.0
sel52,17,hcrd_gaussian,250.0,152988,153000,153012,152986,153010,1,-8.0,-8.0,0.0,8.0
sel52,17,hcrd_raw,250.0,152988,153000,153012,152982,153007,1,-24.0,-20.0,4.0,22.0
sel52,17,derivative_threshold,250.0,152988,153000,153012,152987,153012,1,-4.0,0.0,4.0,2.0
sel52,17,official_pu0,250.0,152988,153000,153012,152979,153017,1,-36.0,20.0,56.0,28.0
sel52,17,official_pu1,250.0,152988,153000,153012,152985,153014,1,-12.0,8.0,20.0,10.0
sel52,18,hcrd_quadratic,250.0,153144,153154,153165,153142,153167,1,-8.0,8.0,16.0,8.0
sel52,18,hcrd_gaussian,250.0,153144,153154,153165,153142,153167,1,-8.0,8.0,16.0,8.0
sel52,18,hcrd_raw,250.0,153144,153154,153165,153139,153161,1,-20.0,-16.0,4.0,18.0
sel52,18,derivative_threshold,250.0,153144,153154,153165,153143,153164,1,-4.0,-4.0,0.0,4.0
sel52,18,official_pu0,250.0,153144,153154,153165,153137,153160,1,-28.0,-20.0,8.0,24.0
sel52,18,official_pu1,250.0,153144,153154,153165,153140,153161,1,-16.0,-16.0,0.0,16.0
sel52,19,hcrd_quadratic,250.0,153301,153311,153320,153294,153321,1,-28.0,4.0,32.0,16.0
sel52,19,hcrd_gaussian,250.0,153301,153311,153320,153293,153321,1,-32.0,4.0,36.0,18.0
sel52,19,hcrd_raw,250.0,153301,153311,153320,153300,153318,1,-4.0,-8.0,-4.0,6.0
sel52,19,derivative_threshold,250.0,153301,153311,153320,153299,153320,1,-8.0,0.0,8.0,4.0
sel52,19,official_pu0,250.0,153301,153311,153320,153298,153317,1,-12.0,-12.0,0.0,12.0
sel52,19,official_pu1,250.0,153301,153311,153320,153285,153319,1,-64.0,-4.0,60.0,34.0
sel52,20,hcrd_quadratic,250.0,153457,153468,153477,153451,153477,1,-24.0,0.0,24.0,12.0
sel52,20,hcrd_gaussian,250.0,153457,153468,153477,153450,153477,1,-28.0,0.0,28.0,14.0
sel52,20,hcrd_raw,250.0,153457,153468,153477,153442,153479,1,-60.0,8.0,68.0,34.0
sel52,20,derivative_threshold,250.0,153457,153468,153477,153453,153476,1,-16.0,-4.0,12.0,10.0
sel52,20,official_pu0,250.0,153457,153468,153477,153452,153473,1,-20.0,-16.0,4.0,18.0
sel52,20,official_pu1,250.0,153457,153468,153477,153443,153477,1,-56.0,0.0,56.0,28.0
sel52,21,hcrd_quadratic,250.0,153615,153627,153636,153612,153638,1,-12.0,8.0,20.0,10.0
sel52,21,hcrd_gaussian,250.0,153615,153627,153636,153612,153639,1,-12.0,12.0,24.0,12.0
sel52,21,hcrd_raw,250.0,153615,153627,153636,153617,153636,1,8.0,0.0,-8.0,4.0
sel52,21,derivative_threshold,250.0,153615,153627,153636,153625,153636,1,40.0,0.0,-40.0,20.0
sel52,21,official_pu0,250.0,153615,153627,153636,153606,153632,1,-36.0,-16.0,20.0,26.0
sel52,21,official_pu1,250.0,153615,153627,153636,153609,153633,1,-24.0,-12.0,12.0,18.0
sel52,22,hcrd_quadratic,250.0,153773,153786,153800,153769,153802,1,-16.0,8.0,24.0,12.0
sel52,22,hcrd_gaussian,250.0,153773,153786,153800,153769,153802,1,-16.0,8.0,24.0,12.0
sel52,22,hcrd_raw,250.0,153773,153786,153800,153773,153797,1,0.0,-12.0,-12.0,6.0
sel52,22,derivative_threshold,250.0,153773,153786,153800,153772,153796,1,-4.0,-16.0,-12.0,10.0
sel52,22,official_pu0,250.0,153773,153786,153800,153771,153805,1,-8.0,20.0,28.0,14.0
sel52,22,official_pu1,250.0,153773,153786,153800,153760,153795,1,-52.0,-20.0,32.0,36.0
sel52,23,hcrd_quadratic,250.0,153931,153941,153952,153927,153954,1,-16.0,8.0,24.0,12.0
sel52,23,hcrd_gaussian,250.0,153931,153941,153952,153927,153955,1,-16.0,12.0,28.0,14.0
sel52,23,hcrd_raw,250.0,153931,153941,153952,153930,153946,1,-4.0,-24.0,-20.0,14.0
sel52,23,derivative_threshold,250.0,153931,153941,153952,153928,153950,1,-12.0,-8.0,4.0,10.0
sel52,23,official_pu0,250.0,153931,153941,153952,153922,153958,1,-36.0,24.0,60.0,30.0
sel52,23,official_pu1,250.0,153931,153941,153952,153926,153949,1,-20.0,-12.0,8.0,16.0
sel52,24,hcrd_quadratic,250.0,154087,154100,154116,154086,154112,1,-4.0,-16.0,-12.0,10.0
sel52,24,hcrd_gaussian,250.0,154087,154100,154116,154087,154119,1,0.0,12.0,12.0,6.0
sel52,24,hcrd_raw,250.0,154087,154100,154116,154090,154107,1,12.0,-36.0,-48.0,24.0
sel52,24,derivative_threshold,250.0,154087,154100,154116,154087,154110,1,0.0,-24.0,-24.0,12.0
sel52,24,official_pu0,250.0,154087,154100,154116,154082,154121,1,-20.0,20.0,40.0,20.0
sel52,24,official_pu1,250.0,154087,154100,154116,154085,154108,1,-8.0,-32.0,-24.0,20.0
sel52,25,hcrd_quadratic,250.0,154247,154259,154268,154246,154274,1,-4.0,24.0,28.0,14.0
sel52,25,hcrd_gaussian,250.0,154247,154259,154268,154246,154275,1,-4.0,28.0,32.0,16.0
sel52,25,hcrd_raw,250.0,154247,154259,154268,154237,154269,1,-40.0,4.0,44.0,22.0
sel52,25,derivative_threshold,250.0,154247,154259,154268,154247,154268,1,0.0,0.0,0.0,0.0
sel52,25,official_pu0,250.0,154247,154259,154268,154240,154276,1,-28.0,32.0,60.0,30.0
sel52,25,official_pu1,250.0,154247,154259,154268,154244,154271,1,-12.0,12.0,24.0,12.0
sel52,26,hcrd_quadratic,250.0,154405,154416,154429,154401,154428,1,-16.0,-4.0,12.0,10.0
sel52,26,hcrd_gaussian,250.0,154405,154416,154429,154400,154429,1,-20.0,0.0,20.0,10.0
sel52,26,hcrd_raw,250.0,154405,154416,154429,154406,154417,1,4.0,-48.0,-52.0,26.0
sel52,26,derivative_threshold,250.0,154405,154416,154429,154415,154427,1,40.0,-8.0,-48.0,24.0
sel52,26,official_pu0,250.0,154405,154416,154429,154402,154422,1,-12.0,-28.0,-16.0,20.0
sel52,26,official_pu1,250.0,154405,154416,154429,154399,154424,1,-24.0,-20.0,4.0,22.0
sel52,27,hcrd_quadratic,250.0,154561,154573,154588,154550,154586,1,-44.0,-8.0,36.0,26.0
sel52,27,hcrd_gaussian,250.0,154561,154573,154588,154550,154586,1,-44.0,-8.0,36.0,26.0
sel52,27,hcrd_raw,250.0,154561,154573,154588,154563,154579,1,8.0,-36.0,-44.0,22.0
sel52,27,derivative_threshold,250.0,154561,154573,154588,154560,154584,1,-4.0,-16.0,-12.0,10.0
sel52,27,official_pu0,250.0,154561,154573,154588,154556,154587,1,-20.0,-4.0,16.0,12.0
sel52,27,official_pu1,250.0,154561,154573,154588,154547,154583,1,-56.0,-20.0,36.0,38.0
sel52,28,hcrd_quadratic,250.0,154715,154729,154742,154715,154743,1,0.0,4.0,4.0,2.0
sel52,28,hcrd_gaussian,250.0,154715,154729,154742,154715,154744,1,0.0,8.0,8.0,4.0
sel52,28,hcrd_raw,250.0,154715,154729,154742,154718,154741,1,12.0,-4.0,-16.0,8.0
sel52,28,derivative_threshold,250.0,154715,154729,154742,154727,154740,1,48.0,-8.0,-56.0,28.0
sel52,28,official_pu0,250.0,154715,154729,154742,154716,154745,1,4.0,12.0,8.0,8.0
sel52,28,official_pu1,250.0,154715,154729,154742,154710,154738,1,-20.0,-16.0,4.0,18.0
sel52,29,hcrd_quadratic,250.0,154871,154884,154894,154871,154897,1,0.0,12.0,12.0,6.0
sel52,29,hcrd_gaussian,250.0,154871,154884,154894,154871,154901,1,0.0,28.0,28.0,14.0
sel52,29,hcrd_raw,250.0,154871,154884,154894,154866,154892,1,-20.0,-8.0,12.0,14.0
sel52,29,derivative_threshold,250.0,154871,154884,154894,154883,154894,1,48.0,0.0,-48.0,24.0
sel52,29,official_pu0,250.0,154871,154884,154894,154872,154890,1,4.0,-16.0,-20.0,10.0
sel52,29,official_pu1,250.0,154871,154884,154894,154869,154896,1,-8.0,8.0,16.0,8.0
sel14157,0,hcrd_quadratic,250.0,150670,150690,150707,150671,150723,1,4.0,64.0,60.0,34.0
sel14157,0,hcrd_gaussian,250.0,150670,150690,150707,150671,150703,1,4.0,-16.0,-20.0,10.0
sel14157,0,hcrd_raw,250.0,150670,150690,150707,150680,150692,1,40.0,-60.0,-100.0,50.0
sel14157,0,derivative_threshold,250.0,150670,150690,150707,150674,150700,1,16.0,-28.0,-44.0,22.0
sel14157,0,official_pu0,250.0,150670,150690,150707,150673,150706,1,12.0,-4.0,-16.0,8.0
sel14157,0,official_pu1,250.0,150670,150690,150707,150680,150707,1,40.0,0.0,-40.0,20.0
sel14157,1,hcrd_quadratic,250.0,150880,150898,150917,150879,150910,1,-4.0,-28.0,-24.0,16.0
sel14157,1,hcrd_gaussian,250.0,150880,150898,150917,150879,150910,1,-4.0,-28.0,-24.0,16.0
sel14157,1,hcrd_raw,250.0,150880,150898,150917,150886,150909,1,24.0,-32.0,-56.0,28.0
sel14157,1,derivative_threshold,250.0,150880,150898,150917,150880,150907,1,0.0,-40.0,-40.0,20.0
sel14157,1,official_pu0,250.0,150880,150898,150917,150874,150914,1,-24.0,-12.0,12.0,18.0
sel14157,1,official_pu1,250.0,150880,150898,150917,150886,150914,1,24.0,-12.0,-36.0,18.0
sel14157,2,hcrd_quadratic,250.0,151089,151106,151124,151087,151119,1,-8.0,-20.0,-12.0,14.0
sel14157,2,hcrd_gaussian,250.0,151089,151106,151124,151083,151119,1,-24.0,-20.0,4.0,22.0
sel14157,2,hcrd_raw,250.0,151089,151106,151124,151094,151117,1,20.0,-28.0,-48.0,24.0
sel14157,2,derivative_threshold,250.0,151089,151106,151124,151089,151116,1,0.0,-32.0,-32.0,16.0
sel14157,2,official_pu0,250.0,151089,151106,151124,151085,151122,1,-16.0,-8.0,8.0,12.0
sel14157,2,official_pu1,250.0,151089,151106,151124,151090,151122,1,4.0,-8.0,-12.0,6.0
sel14157,3,hcrd_quadratic,250.0,151297,151312,151330,151291,151342,1,-24.0,48.0,72.0,36.0
sel14157,3,hcrd_gaussian,250.0,151297,151312,151330,151290,151324,1,-28.0,-24.0,4.0,26.0
sel14157,3,hcrd_raw,250.0,151297,151312,151330,151300,151323,1,12.0,-28.0,-40.0,20.0
sel14157,3,derivative_threshold,250.0,151297,151312,151330,151295,151321,1,-8.0,-36.0,-28.0,22.0
sel14157,3,official_pu0,250.0,151297,151312,151330,151292,151328,1,-20.0,-8.0,12.0,14.0
sel14157,3,official_pu1,250.0,151297,151312,151330,151300,151328,1,12.0,-8.0,-20.0,10.0
sel14157,4,hcrd_quadratic,250.0,151504,151519,151535,151501,151532,1,-12.0,-12.0,0.0,12.0
sel14157,4,hcrd_gaussian,250.0,151504,151519,151535,151493,151532,1,-44.0,-12.0,32.0,28.0
sel14157,4,hcrd_raw,250.0,151504,151519,151535,151509,151531,1,20.0,-16.0,-36.0,18.0
sel14157,4,derivative_threshold,250.0,151504,151519,151535,151500,151528,1,-16.0,-28.0,-12.0,22.0
sel14157,4,official_pu0,250.0,151504,151519,151535,151496,151535,1,-32.0,0.0,32.0,16.0
sel14157,4,official_pu1,250.0,151504,151519,151535,151503,151535,1,-4.0,0.0,4.0,2.0
sel14157,5,hcrd_quadratic,250.0,151710,151727,151743,151708,151740,1,-8.0,-12.0,-4.0,10.0
sel14157,5,hcrd_gaussian,250.0,151710,151727,151743,151708,151740,1,-8.0,-12.0,-4.0,10.0
sel14157,5,hcrd_raw,250.0,151710,151727,151743,151716,151739,1,24.0,-16.0,-40.0,20.0
sel14157,5,derivative_threshold,250.0,151710,151727,151743,151710,151736,1,0.0,-28.0,-28.0,14.0
sel14157,5,official_pu0,250.0,151710,151727,151743,151709,151743,1,-4.0,0.0,4.0,2.0
sel14157,5,official_pu1,250.0,151710,151727,151743,151711,151743,1,4.0,0.0,-4.0,2.0
sel14157,6,hcrd_quadratic,250.0,151918,151932,151951,151912,151947,1,-24.0,-16.0,8.0,20.0
sel14157,6,hcrd_gaussian,250.0,151918,151932,151951,151911,151947,1,-28.0,-16.0,12.0,22.0
sel14157,6,hcrd_raw,250.0,151918,151932,151951,151922,151944,1,16.0,-28.0,-44.0,22.0
sel14157,6,derivative_threshold,250.0,151918,151932,151951,151916,151943,1,-8.0,-32.0,-24.0,20.0
sel14157,6,official_pu0,250.0,151918,151932,151951,151914,151950,1,-16.0,-4.0,12.0,10.0
sel14157,6,official_pu1,250.0,151918,151932,151951,151918,151950,1,0.0,-4.0,-4.0,2.0
sel14157,7,hcrd_quadratic,250.0,152124,152142,152158,152124,152155,1,0.0,-12.0,-12.0,6.0
sel14157,7,hcrd_gaussian,250.0,152124,152142,152158,152124,152155,1,0.0,-12.0,-12.0,6.0
sel14157,7,hcrd_raw,250.0,152124,152142,152158,152131,152144,1,28.0,-56.0,-84.0,42.0
sel14157,7,derivative_threshold,250.0,152124,152142,152158,152126,152151,1,8.0,-28.0,-36.0,18.0
sel14157,7,official_pu0,250.0,152124,152142,152158,152125,152157,1,4.0,-4.0,-8.0,4.0
sel14157,7,official_pu1,250.0,152124,152142,152158,152131,152158,1,28.0,0.0,-28.0,14.0
sel14157,8,hcrd_quadratic,250.0,152329,152348,152372,152330,152361,1,4.0,-44.0,-48.0,24.0
sel14157,8,hcrd_gaussian,250.0,152329,152348,152372,152328,152361,1,-4.0,-44.0,-40.0,24.0
sel14157,8,hcrd_raw,250.0,152329,152348,152372,152337,152360,1,32.0,-48.0,-80.0,40.0
sel14157,8,derivative_threshold,250.0,152329,152348,152372,152332,152358,1,12.0,-56.0,-68.0,34.0
sel14157,8,official_pu0,250.0,152329,152348,152372,152331,152364,1,8.0,-32.0,-40.0,20.0
sel14157,8,official_pu1,250.0,152329,152348,152372,152337,152365,1,32.0,-28.0,-60.0,30.0
sel14157,9,hcrd_quadratic,250.0,152537,152554,152573,152534,152568,1,-12.0,-20.0,-8.0,16.0
sel14157,9,hcrd_gaussian,250.0,152537,152554,152573,152532,152569,1,-20.0,-16.0,4.0,18.0
sel14157,9,hcrd_raw,250.0,152537,152554,152573,152544,152566,1,28.0,-28.0,-56.0,28.0
sel14157,9,derivative_threshold,250.0,152537,152554,152573,152538,152564,1,4.0,-36.0,-40.0,20.0
sel14157,9,official_pu0,250.0,152537,152554,152573,152535,152571,1,-8.0,-8.0,0.0,8.0
sel14157,9,official_pu1,250.0,152537,152554,152573,152544,152571,1,28.0,-8.0,-36.0,18.0
sel14157,10,hcrd_quadratic,250.0,152745,152762,152779,152744,152775,1,-4.0,-16.0,-12.0,10.0
sel14157,10,hcrd_gaussian,250.0,152745,152762,152779,152740,152776,1,-20.0,-12.0,8.0,16.0
sel14157,10,hcrd_raw,250.0,152745,152762,152779,152751,152775,1,24.0,-16.0,-40.0,20.0
sel14157,10,derivative_threshold,250.0,152745,152762,152779,152745,152771,1,0.0,-32.0,-32.0,16.0
sel14157,10,official_pu0,250.0,152745,152762,152779,152745,152778,1,0.0,-4.0,-4.0,2.0
sel14157,10,official_pu1,250.0,152745,152762,152779,152751,152778,1,24.0,-4.0,-28.0,14.0
sel14157,11,hcrd_quadratic,250.0,152952,152966,152986,152948,152979,1,-16.0,-28.0,-12.0,22.0
sel14157,11,hcrd_gaussian,250.0,152952,152966,152986,152947,152979,1,-20.0,-28.0,-8.0,24.0
sel14157,11,hcrd_raw,250.0,152952,152966,152986,152956,152978,1,16.0,-32.0,-48.0,24.0
sel14157,11,derivative_threshold,250.0,152952,152966,152986,,,0,nan,nan,nan,160.0
sel14157,11,official_pu0,250.0,152952,152966,152986,152950,152982,1,-8.0,-16.0,-8.0,12.0
sel14157,11,official_pu1,250.0,152952,152966,152986,152951,152983,1,-4.0,-12.0,-8.0,8.0
sel14157,12,hcrd_quadratic,250.0,153157,153173,153192,153151,153186,1,-24.0,-24.0,0.0,24.0
sel14157,12,hcrd_gaussian,250.0,153157,153173,153192,153150,153186,1,-28.0,-24.0,4.0,26.0
sel14157,12,hcrd_raw,250.0,153157,153173,153192,153162,153185,1,20.0,-28.0,-48.0,24.0
sel14157,12,derivative_threshold,250.0,153157,153173,153192,153156,153182,1,-4.0,-40.0,-36.0,22.0
sel14157,12,official_pu0,250.0,153157,153173,153192,153155,153189,1,-8.0,-12.0,-4.0,10.0
sel14157,12,official_pu1,250.0,153157,153173,153192,153157,153189,1,0.0,-12.0,-12.0,6.0
sel14157,13,hcrd_quadratic,250.0,153365,153380,153397,153361,153393,1,-16.0,-16.0,0.0,16.0
sel14157,13,hcrd_gaussian,250.0,153365,153380,153397,153353,153393,1,-48.0,-16.0,32.0,32.0
sel14157,13,hcrd_raw,250.0,153365,153380,153397,153368,153392,1,12.0,-20.0,-32.0,16.0
