trial,suite,seed,noise_sigma,method,parameter,baseline_mse,baseline_nmse,detail_mse,detail_nmse,knot_f1,knots
10,exact,20260925,0.0,gaussian_oracle,sigma=64,0.006308278236196981,0.004859130476214696,0.006308278236196981,0.004859130476214696,,
10,exact,20260925,0.0,fourier_oracle,bins=3,0.08467642791741503,0.06522442354390474,0.08467642791741503,0.06522442354390474,,
10,exact,20260925,0.0,rdp_oracle_budget,epsilon=1.2665197;knots=2,1.0659310322554103e-32,8.210636516720567e-33,1.9636991541915613e-32,1.5125950455859513e-32,,
11,exact,20260926,0.0,hcrd_centered,none,0.0,0.0,8.920727649021656e-33,7.94953980805141e-33,1.0,9
11,exact,20260926,0.0,hcrd_legacy,none,0.007813683402688457,0.006963018007168364,0.007813683402688457,0.006963018007168364,1.0,9
11,exact,20260926,0.0,hcrd_robust,z=3.5,2.0287461266323442e-32,1.8078792144116915e-32,2.772140097384149e-32,2.470340865082642e-32,0.0,2
11,exact,20260926,0.0,hcrd_guided_fixed,sigma=2,0.026355502712900304,0.023486213930136685,0.026355502712900304,0.023486213930136685,0.8750000000000001,11
11,exact,20260926,0.0,hcrd_guided_oracle,sigma=1,0.007468774469671729,0.00665565885430041,0.007468774469671728,0.006655658854300409,0.8750000000000001,11
11,exact,20260926,0.0,hcrd_guided_adaptive,sigma=1.49036;adaptive,0.015821475813814885,0.01409901263131127,0.01582147581381488,0.014099012631311266,0.8750000000000001,11
11,exact,20260926,0.0,affine_ls,degree=1,0.032800626025439705,0.029229665177238844,0.03280062602543971,0.02922966517723885,,
11,exact,20260926,0.0,moving_average_oracle,window=129,0.06196566842408314,0.05521954791701178,0.06196566842408314,0.05521954791701178,,
11,exact,20260926,0.0,gaussian_oracle,sigma=32,0.0596124416360517,0.053122513822390534,0.05961244163605169,0.05312251382239053,,
11,exact,20260926,0.0,fourier_oracle,bins=3,0.12871984650187845,0.11470628676408164,0.12871984650187845,0.11470628676408164,,
11,exact,20260926,0.0,rdp_oracle_budget,epsilon=1.5891849;knots=2,2.0287461266323442e-32,1.8078792144116915e-32,2.772140097384149e-32,2.470340865082642e-32,,
12,exact,20260927,0.0,hcrd_centered,none,0.0,0.0,9.328395310401677e-33,1.0660970499595899e-32,1.0,9
12,exact,20260927,0.0,hcrd_legacy,none,0.004200141867263673,0.004800138400126135,0.004200141867263672,0.004800138400126133,1.0,9
12,exact,20260927,0.0,hcrd_robust,z=3.5,5.371620949948523e-32,6.138965017762162e-32,5.901588909742552e-32,6.74463969138959e-32,0.0,2
12,exact,20260927,0.0,hcrd_guided_fixed,sigma=2,0.013943409444341626,0.015935246288733027,0.013943409444341626,0.015935246288733027,0.8750000000000001,11
12,exact,20260927,0.0,hcrd_guided_oracle,sigma=1,0.003984719289285785,0.00455394238544735,0.003984719289285784,0.004553942385447349,0.8750000000000001,11
12,exact,20260927,0.0,hcrd_guided_adaptive,sigma=1.42216;adaptive,0.00838455075371667,0.009582296339657263,0.008384550753716668,0.009582296339657261,0.8750000000000001,11
12,exact,20260927,0.0,affine_ls,degree=1,0.017631541430832235,0.02015023343263649,0.01763154143083223,0.020150233432636486,,
12,exact,20260927,0.0,moving_average_oracle,window=129,0.012855914232803736,0.014692400763551482,0.012855914232803736,0.014692400763551482,,
12,exact,20260927,0.0,gaussian_oracle,sigma=32,0.005482426006755001,0.006265598742268103,0.005482426006755001,0.006265598742268103,,
12,exact,20260927,0.0,fourier_oracle,bins=3,0.06662824887341495,0.0761461936424545,0.06662824887341495,0.0761461936424545,,
12,exact,20260927,0.0,rdp_oracle_budget,epsilon=1.0496423;knots=2,5.371620949948523e-32,6.138965017762162e-32,5.901588909742552e-32,6.74463969138959e-32,,
13,exact,20260928,0.0,hcrd_centered,none,0.0,0.0,9.831984774459353e-33,9.04827170071026e-33,1.0,9
13,exact,20260928,0.0,hcrd_legacy,none,0.005813337428059993,0.005349953009857813,0.005813337428059992,0.005349953009857812,1.0,9
13,exact,20260928,0.0,hcrd_robust,z=3.5,1.9807852252935183e-32,1.8228957133626034e-32,2.9160228014006273e-32,2.683584972698457e-32,0.0,2
13,exact,20260928,0.0,hcrd_guided_fixed,sigma=2,0.019663803373655343,0.018096390472081496,0.019663803373655347,0.0180963904720815,0.8750000000000001,11
13,exact,20260928,0.0,hcrd_guided_oracle,sigma=1,0.01162549569811749,0.010698820853065208,0.01162549569811749,0.010698820853065208,0.8750000000000001,11
13,exact,20260928,0.0,hcrd_guided_adaptive,sigma=1.42375;adaptive,0.01174982566636954,0.010813240409145846,0.01174982566636954,0.010813240409145846,0.8750000000000001,11
13,exact,20260928,0.0,affine_ls,degree=1,0.02440348515680576,0.022458269536444683,0.024403485156805762,0.022458269536444687,,
13,exact,20260928,0.0,moving_average_oracle,window=129,0.05722344770174926,0.052662134282575004,0.05722344770174925,0.052662134282575,,
13,exact,20260928,0.0,gaussian_oracle,sigma=32,0.054066695137520236,0.049757008252756814,0.05406669513752024,0.04975700825275682,,
13,exact,20260928,0.0,fourier_oracle,bins=3,0.17236802935042342,0.15862847612723177,0.17236802935042345,0.1586284761272318,,
13,exact,20260928,0.0,rdp_oracle_budget,epsilon=1.2234232;knots=2,1.9807852252935183e-32,1.8228957133626034e-32,2.9160228014006273e-32,2.683584972698457e-32,,
14,exact,20260929,0.0,hcrd_centered,none,0.0,0.0,6.618604384758002e-33,7.237325599177327e-33,1.0,9
14,exact,20260929,0.0,hcrd_legacy,none,0.0071233446194356245,0.007789250024480577,0.007123344619435625,0.0077892500244805775,1.0,9
14,exact,20260929,0.0,hcrd_robust,z=3.5,4.568275852523187e-33,4.995327995084351e-33,1.1414694518640614e-32,1.2481764439160898e-32,0.0,2
14,exact,20260929,0.0,hcrd_guided_fixed,sigma=2,0.023767788443961966,0.02598965185733887,0.02376778844396197,0.025989651857338873,0.8750000000000001,11
14,exact,20260929,0.0,hcrd_guided_oracle,sigma=1,0.006774087330679506,0.007407343421566684,0.006774087330679507,0.0074073434215666855,0.8750000000000001,11
14,exact,20260929,0.0,hcrd_guided_adaptive,sigma=1.62787;adaptive,0.0026139431790559373,0.0028583001468017494,0.002613943179055938,0.0028583001468017503,1.0,9
14,exact,20260929,0.0,affine_ls,degree=1,0.029902691326352322,0.032698058508964706,0.02990269132635233,0.03269805850896471,,
14,exact,20260929,0.0,moving_average_oracle,window=129,0.024756339385240893,0.02707061464307129,0.024756339385240893,0.02707061464307129,,
14,exact,20260929,0.0,gaussian_oracle,sigma=64,0.002244949478752147,0.0024548121306130566,0.002244949478752147,0.0024548121306130566,,
14,exact,20260929,0.0,fourier_oracle,bins=3,0.01355576863650425,0.014822990719226145,0.013555768636504248,0.014822990719226143,,
14,exact,20260929,0.0,rdp_oracle_budget,epsilon=1.2087023;knots=2,4.568275852523187e-33,4.995327995084351e-33,1.1414694518640614e-32,1.2481764439160898e-32,,
15,exact,20260930,0.0,hcrd_centered,none,0.0,0.0,1.648056472255412e-32,7.490611384559679e-33,1.0,9
15,exact,20260930,0.0,hcrd_legacy,none,0.005707100497785525,0.0025939446057351616,0.005707100497785527,0.0025939446057351625,1.0,9
15,exact,20260930,0.0,hcrd_robust,z=3.5,5.787681769062841e-32,2.630569745599823e-32,8.291840330216298e-32,3.768739398321023e-32,0.0,2
15,exact,20260930,0.0,hcrd_guided_fixed,sigma=2,0.01945543054748038,0.008842723050080124,0.01945543054748038,0.008842723050080124,0.8750000000000001,11
15,exact,20260930,0.0,hcrd_guided_oracle,sigma=1,0.011442017665300171,0.005200532216516646,0.011442017665300168,0.005200532216516644,0.8750000000000001,11
15,exact,20260930,0.0,hcrd_guided_adaptive,sigma=1.31259;adaptive,0.011529645168305501,0.005240359951953041,0.011529645168305498,0.005240359951953039,0.8750000000000001,11
15,exact,20260930,0.0,affine_ls,degree=1,0.02395751906879861,0.01088897547527344,0.023957519068798606,0.010888975475273439,,
15,exact,20260930,0.0,moving_average_oracle,window=65,0.08522847118450824,0.038737347129228356,0.08522847118450824,0.038737347129228356,,
15,exact,20260930,0.0,gaussian_oracle,sigma=32,0.08392265243181779,0.038143837077859274,0.08392265243181778,0.03814383707785927,,
15,exact,20260930,0.0,fourier_oracle,bins=3,0.48442844107550787,0.22017844999927494,0.48442844107550787,0.22017844999927494,,
15,exact,20260930,0.0,rdp_oracle_budget,epsilon=1.2622326;knots=2,5.787681769062841e-32,2.630569745599823e-32,8.291840330216298e-32,3.768739398321023e-32,,
16,exact,20260931,0.0,hcrd_centered,none,0.0,0.0,1.306335050216276e-32,7.355548452608779e-33,1.0,9
16,exact,20260931,0.0,hcrd_legacy,none,0.009010939622650734,0.005073767483079199,0.009010939622650736,0.0050737674830792,1.0,9
16,exact,20260931,0.0,hcrd_robust,z=3.5,2.1291642638105116e-32,1.1988632551372224e-32,3.6899918467559336e-32,2.0777145812669588e-32,0.0,2
16,exact,20260931,0.0,hcrd_guided_fixed,sigma=2,0.030496453090588554,0.017171562403029517,0.030496453090588557,0.01717156240302952,0.8750000000000001,11
16,exact,20260931,0.0,hcrd_guided_oracle,sigma=1,0.018023251319270836,0.010148307536454248,0.01802325131927084,0.01014830753645425,0.8750000000000001,11
16,exact,20260931,0.0,hcrd_guided_adaptive,sigma=1.41295;adaptive,0.0182091308250466,0.010252970249963638,0.018209130825046604,0.01025297024996364,0.8750000000000001,11
16,exact,20260931,0.0,affine_ls,degree=1,0.03782652117677163,0.021298885708020413,0.03782652117677162,0.02129888570802041,,
16,exact,20260931,0.0,moving_average_oracle,window=129,0.09234407803730584,0.05199595159009432,0.09234407803730585,0.051995951590094326,,
16,exact,20260931,0.0,gaussian_oracle,sigma=32,0.086881550160112,0.048920179530868524,0.086881550160112,0.048920179530868524,,
16,exact,20260931,0.0,fourier_oracle,bins=3,0.2940126846664538,0.1655489950597011,0.29401268466645386,0.16554899505970114,,
16,exact,20260931,0.0,rdp_oracle_budget,epsilon=1.5574947;knots=2,2.1291642638105116e-32,1.1988632551372224e-32,3.6899918467559336e-32,2.0777145812669588e-32,,
17,exact,20260932,0.0,hcrd_centered,none,0.0,0.0,1.6114862849845572e-32,1.4165285312518947e-32,1.0,9
17,exact,20260932,0.0,hcrd_legacy,none,0.006655652238662665,0.005850450840322576,0.006655652238662665,0.005850450840322576,1.0,9
17,exact,20260932,0.0,hcrd_robust,z=3.5,3.5395145188053667e-32,3.1113037382854115e-32,4.767313593079315e-32,4.190563571620188e-32,0.0,2
17,exact,20260932,0.0,hcrd_guided_fixed,sigma=2,0.022492028532087437,0.019770940924724558,0.022492028532087437,0.019770940924724558,0.8750000000000001,11
17,exact,20260932,0.0,hcrd_guided_oracle,sigma=1,0.01330593227635548,0.011696179409025271,0.013305932276355481,0.011696179409025271,0.8750000000000001,11
