record,beat_index,method,sampling_frequency,target_onset,target_fiducial,target_offset,detected_r_peak,predicted_onset,predicted_offset,success,failure_reason,onset_error_ms,offset_error_ms,duration_error_ms,joint_absolute_error_ms
sel100,22,neurokit_dwt_ch1,250.0,154708,154723,154727,,,,0,missing_dwt_boundary,,,,160.0
sel100,23,neurokit_dwt_ch1,250.0,154916,154934,154939,154930,154916,154941,1,,0.0,8.0,8.0,4.0
sel100,24,neurokit_dwt_ch1,250.0,155124,155136,155143,,,,0,missing_dwt_boundary,,,,160.0
sel100,25,neurokit_dwt_ch1,250.0,155305,155316,155320,155313,155300,155323,1,,-20.0,12.0,32.0,16.0
sel100,26,neurokit_dwt_ch1,250.0,155490,155504,155507,155500,155488,155516,1,,-8.0,36.0,44.0,22.0
sel100,27,neurokit_dwt_ch1,250.0,155691,155704,155710,155700,155687,155711,1,,-16.0,4.0,20.0,10.0
sel100,28,neurokit_dwt_ch1,250.0,155899,155914,155918,155910,155898,155920,1,,-4.0,8.0,12.0,6.0
sel100,29,neurokit_dwt_ch1,250.0,156092,156110,156114,156107,156093,156126,1,,4.0,48.0,44.0,26.0
sel102,0,neurokit_dwt_ch0,250.0,150229,150253,150280,150243,150202,150250,1,,-108.0,-120.0,-12.0,114.0
sel102,1,neurokit_dwt_ch0,250.0,150427,150453,150483,150442,150408,150450,1,,-76.0,-132.0,-56.0,104.0
sel102,2,neurokit_dwt_ch0,250.0,150641,150663,150694,,,,0,missing_dwt_boundary,,,,160.0
sel102,3,neurokit_dwt_ch0,250.0,150852,150875,150908,,,,0,missing_dwt_boundary,,,,160.0
sel102,4,neurokit_dwt_ch0,250.0,151065,151086,151121,,,,0,missing_dwt_boundary,,,,160.0
sel102,5,neurokit_dwt_ch0,250.0,151278,151313,151327,,,,0,unmatched_r_peak,,,,160.0
sel102,6,neurokit_dwt_ch0,250.0,152081,152106,152135,152096,152065,152104,1,,-64.0,-124.0,-60.0,94.0
sel102,7,neurokit_dwt_ch0,250.0,152307,152321,152361,,,,0,missing_dwt_boundary,,,,160.0
sel102,8,neurokit_dwt_ch0,250.0,152516,152548,152569,,,,0,unmatched_r_peak,,,,160.0
sel102,9,neurokit_dwt_ch0,250.0,152722,152744,152775,,,,0,missing_dwt_boundary,,,,160.0
sel102,10,neurokit_dwt_ch0,250.0,152932,152954,152988,152946,152911,152953,1,,-84.0,-140.0,-56.0,112.0
sel102,11,neurokit_dwt_ch0,250.0,153136,153159,153189,,,,0,unmatched_r_peak,,,,160.0
sel102,12,neurokit_dwt_ch0,250.0,153331,153363,153382,,,,0,unmatched_r_peak,,,,160.0
sel102,13,neurokit_dwt_ch0,250.0,153535,153555,153593,153545,153511,153553,1,,-96.0,-160.0,-64.0,128.0
sel102,14,neurokit_dwt_ch0,250.0,153743,153765,153799,153756,153702,153763,1,,-164.0,-144.0,20.0,154.0
sel102,15,neurokit_dwt_ch0,250.0,153961,153983,154017,,,,0,missing_dwt_boundary,,,,160.0
sel102,16,neurokit_dwt_ch0,250.0,154782,154816,154835,,,,0,unmatched_r_peak,,,,160.0
sel102,17,neurokit_dwt_ch0,250.0,154983,155015,155036,,,,0,unmatched_r_peak,,,,160.0
sel102,18,neurokit_dwt_ch0,250.0,155189,155224,155244,,,,0,unmatched_r_peak,,,,160.0
sel102,19,neurokit_dwt_ch0,250.0,155402,155439,155455,,,,0,unmatched_r_peak,,,,160.0
sel102,20,neurokit_dwt_ch0,250.0,155620,155656,155676,,,,0,unmatched_r_peak,,,,160.0
sel102,21,neurokit_dwt_ch0,250.0,155825,155858,155880,,,,0,unmatched_r_peak,,,,160.0
sel102,22,neurokit_dwt_ch0,250.0,156027,156057,156080,,,,0,unmatched_r_peak,,,,160.0
sel102,23,neurokit_dwt_ch0,250.0,156233,156263,156284,,,,0,unmatched_r_peak,,,,160.0
sel102,24,neurokit_dwt_ch0,250.0,157058,157095,157113,,,,0,unmatched_r_peak,,,,160.0
sel102,25,neurokit_dwt_ch0,250.0,157277,157298,157323,,,,0,missing_dwt_boundary,,,,160.0
sel102,26,neurokit_dwt_ch0,250.0,158087,158117,158138,,,,0,unmatched_r_peak,,,,160.0
sel102,27,neurokit_dwt_ch0,250.0,158296,158315,158349,,,,0,missing_dwt_boundary,,,,160.0
sel102,28,neurokit_dwt_ch0,250.0,158507,158531,158563,,,,0,missing_dwt_boundary,,,,160.0
sel102,29,neurokit_dwt_ch0,250.0,158723,158755,158778,,,,0,unmatched_r_peak,,,,160.0
sel102,30,neurokit_dwt_ch0,250.0,158928,158950,158979,158941,158884,158947,1,,-176.0,-128.0,48.0,152.0
sel102,31,neurokit_dwt_ch0,250.0,159127,159154,159177,,,,0,unmatched_r_peak,,,,160.0
sel102,32,neurokit_dwt_ch0,250.0,159322,159356,159376,,,,0,unmatched_r_peak,,,,160.0
sel102,33,neurokit_dwt_ch0,250.0,159533,159562,159581,,,,0,unmatched_r_peak,,,,160.0
sel102,34,neurokit_dwt_ch0,250.0,160979,161009,161029,,,,0,unmatched_r_peak,,,,160.0
sel102,35,neurokit_dwt_ch0,250.0,161190,161223,161245,,,,0,unmatched_r_peak,,,,160.0
sel102,36,neurokit_dwt_ch0,250.0,162633,162655,162689,,,,0,unmatched_r_peak,,,,160.0
sel102,37,neurokit_dwt_ch0,250.0,162854,162869,162904,,,,0,missing_dwt_boundary,,,,160.0
sel102,38,neurokit_dwt_ch0,250.0,163059,163082,163120,,,,0,missing_dwt_boundary,,,,160.0
sel102,39,neurokit_dwt_ch0,250.0,163270,163291,163321,,,,0,missing_dwt_boundary,,,,160.0
sel102,40,neurokit_dwt_ch0,250.0,163471,163494,163524,163497,163485,163518,1,,56.0,-24.0,-80.0,40.0
sel102,41,neurokit_dwt_ch0,250.0,163682,163699,163733,163688,163657,163695,1,,-100.0,-152.0,-52.0,126.0
sel102,42,neurokit_dwt_ch0,250.0,163878,163907,163931,,,,0,unmatched_r_peak,,,,160.0
sel102,43,neurokit_dwt_ch0,250.0,164079,164108,164134,,,,0,unmatched_r_peak,,,,160.0
sel102,44,neurokit_dwt_ch0,250.0,164294,164316,164350,,,,0,missing_dwt_boundary,,,,160.0
sel102,45,neurokit_dwt_ch0,250.0,164513,164530,164561,,,,0,missing_dwt_boundary,,,,160.0
sel102,46,neurokit_dwt_ch0,250.0,164719,164736,164767,164728,164694,164737,1,,-100.0,-120.0,-20.0,110.0
sel102,47,neurokit_dwt_ch0,250.0,164922,164944,164978,,,,0,missing_dwt_boundary,,,,160.0
sel102,48,neurokit_dwt_ch0,250.0,165120,165144,165178,,,,0,unmatched_r_peak,,,,160.0
sel102,49,neurokit_dwt_ch0,250.0,165526,165549,165580,165538,165504,165545,1,,-88.0,-140.0,-52.0,114.0
sel102,50,neurokit_dwt_ch0,250.0,168634,168652,168687,168643,168602,168651,1,,-128.0,-144.0,-16.0,136.0
sel102,51,neurokit_dwt_ch0,250.0,168845,168867,168898,,,,0,unmatched_r_peak,,,,160.0
sel102,52,neurokit_dwt_ch0,250.0,169873,169899,169922,,,,0,unmatched_r_peak,,,,160.0
sel102,53,neurokit_dwt_ch0,250.0,170923,170956,170974,,,,0,unmatched_r_peak,,,,160.0
sel102,54,neurokit_dwt_ch0,250.0,171319,171348,171372,,,,0,unmatched_r_peak,,,,160.0
sel102,55,neurokit_dwt_ch0,250.0,171954,171982,172010,,,,0,unmatched_r_peak,,,,160.0
sel102,56,neurokit_dwt_ch0,250.0,172783,172806,172826,,,,0,unmatched_r_peak,,,,160.0
sel102,57,neurokit_dwt_ch0,250.0,172973,173006,173022,,,,0,unmatched_r_peak,,,,160.0
sel102,58,neurokit_dwt_ch0,250.0,175268,175308,175322,,,,0,unmatched_r_peak,,,,160.0
sel102,59,neurokit_dwt_ch0,250.0,175670,175699,175721,,,,0,unmatched_r_peak,,,,160.0
sel102,60,neurokit_dwt_ch0,250.0,176917,176958,176973,,,,0,unmatched_r_peak,,,,160.0
sel102,61,neurokit_dwt_ch0,250.0,178571,178610,178622,,,,0,unmatched_r_peak,,,,160.0
sel102,62,neurokit_dwt_ch0,250.0,181467,181494,181518,,,,0,unmatched_r_peak,,,,160.0
sel102,63,neurokit_dwt_ch0,250.0,182918,182951,182974,,,,0,unmatched_r_peak,,,,160.0
sel102,64,neurokit_dwt_ch0,250.0,183119,183146,183167,,,,0,unmatched_r_peak,,,,160.0
sel102,65,neurokit_dwt_ch0,250.0,183325,183352,183373,,,,0,unmatched_r_peak,,,,160.0
sel102,66,neurokit_dwt_ch0,250.0,184364,184392,184415,,,,0,unmatched_r_peak,,,,160.0
sel102,67,neurokit_dwt_ch0,250.0,185817,185848,185878,,,,0,unmatched_r_peak,,,,160.0
sel102,68,neurokit_dwt_ch0,250.0,186023,186044,186074,,,,0,unmatched_r_peak,,,,160.0
sel102,69,neurokit_dwt_ch0,250.0,186622,186657,186678,186649,186637,186662,1,,60.0,-64.0,-124.0,62.0
sel102,70,neurokit_dwt_ch0,250.0,187469,187493,187524,,,,0,unmatched_r_peak,,,,160.0
sel102,71,neurokit_dwt_ch0,250.0,189117,189147,189166,,,,0,unmatched_r_peak,,,,160.0
sel102,72,neurokit_dwt_ch0,250.0,190769,190792,190812,,,,0,unmatched_r_peak,,,,160.0
sel102,73,neurokit_dwt_ch0,250.0,191602,191645,191655,,,,0,unmatched_r_peak,,,,160.0
sel102,74,neurokit_dwt_ch0,250.0,191813,191849,191859,,,,0,unmatched_r_peak,,,,160.0
sel102,75,neurokit_dwt_ch0,250.0,194707,194753,194765,,,,0,unmatched_r_peak,,,,160.0
sel102,76,neurokit_dwt_ch0,250.0,194915,194953,194976,,,,0,unmatched_r_peak,,,,160.0
sel102,77,neurokit_dwt_ch0,250.0,196368,196406,196417,,,,0,unmatched_r_peak,,,,160.0
sel102,78,neurokit_dwt_ch0,250.0,196564,196603,196612,,,,0,unmatched_r_peak,,,,160.0
sel102,79,neurokit_dwt_ch0,250.0,201950,201983,201998,,,,0,unmatched_r_peak,,,,160.0
sel102,80,neurokit_dwt_ch0,250.0,205258,205299,205317,,,,0,unmatched_r_peak,,,,160.0
sel102,81,neurokit_dwt_ch0,250.0,205456,205498,205507,,,,0,unmatched_r_peak,,,,160.0
sel102,82,neurokit_dwt_ch0,250.0,220957,220986,221008,,,,0,unmatched_r_peak,,,,160.0
sel102,83,neurokit_dwt_ch0,250.0,223650,223681,223706,,,,0,unmatched_r_peak,,,,160.0
sel102,84,neurokit_dwt_ch0,250.0,224067,224092,224117,,,,0,unmatched_r_peak,,,,160.0
sel102,0,neurokit_dwt_ch1,250.0,150229,150253,150280,,,,0,unmatched_r_peak,,,,160.0
sel102,1,neurokit_dwt_ch1,250.0,150427,150453,150483,,,,0,unmatched_r_peak,,,,160.0
sel102,2,neurokit_dwt_ch1,250.0,150641,150663,150694,,,,0,unmatched_r_peak,,,,160.0
sel102,3,neurokit_dwt_ch1,250.0,150852,150875,150908,,,,0,unmatched_r_peak,,,,160.0
sel102,4,neurokit_dwt_ch1,250.0,151065,151086,151121,,,,0,unmatched_r_peak,,,,160.0
sel102,5,neurokit_dwt_ch1,250.0,151278,151313,151327,,,,0,unmatched_r_peak,,,,160.0
sel102,6,neurokit_dwt_ch1,250.0,152081,152106,152135,,,,0,unmatched_r_peak,,,,160.0
sel102,7,neurokit_dwt_ch1,250.0,152307,152321,152361,,,,0,unmatched_r_peak,,,,160.0
sel102,8,neurokit_dwt_ch1,250.0,152516,152548,152569,,,,0,unmatched_r_peak,,,,160.0
sel102,9,neurokit_dwt_ch1,250.0,152722,152744,152775,,,,0,unmatched_r_peak,,,,160.0
sel102,10,neurokit_dwt_ch1,250.0,152932,152954,152988,,,,0,unmatched_r_peak,,,,160.0
sel102,11,neurokit_dwt_ch1,250.0,153136,153159,153189,,,,0,unmatched_r_peak,,,,160.0
sel102,12,neurokit_dwt_ch1,250.0,153331,153363,153382,,,,0,unmatched_r_peak,,,,160.0
sel102,13,neurokit_dwt_ch1,250.0,153535,153555,153593,,,,0,unmatched_r_peak,,,,160.0
sel102,14,neurokit_dwt_ch1,250.0,153743,153765,153799,,,,0,unmatched_r_peak,,,,160.0
sel102,15,neurokit_dwt_ch1,250.0,153961,153983,154017,,,,0,unmatched_r_peak,,,,160.0
sel102,16,neurokit_dwt_ch1,250.0,154782,154816,154835,,,,0,unmatched_r_peak,,,,160.0
sel102,17,neurokit_dwt_ch1,250.0,154983,155015,155036,,,,0,unmatched_r_peak,,,,160.0
sel102,18,neurokit_dwt_ch1,250.0,155189,155224,155244,,,,0,unmatched_r_peak,,,,160.0
sel102,19,neurokit_dwt_ch1,250.0,155402,155439,155455,,,,0,unmatched_r_peak,,,,160.0
sel102,20,neurokit_dwt_ch1,250.0,155620,155656,155676,,,,0,unmatched_r_peak,,,,160.0
sel102,21,neurokit_dwt_ch1,250.0,155825,155858,155880,,,,0,unmatched_r_peak,,,,160.0
sel102,22,neurokit_dwt_ch1,250.0,156027,156057,156080,,,,0,unmatched_r_peak,,,,160.0
sel102,23,neurokit_dwt_ch1,250.0,156233,156263,156284,,,,0,unmatched_r_peak,,,,160.0
sel102,24,neurokit_dwt_ch1,250.0,157058,157095,157113,,,,0,unmatched_r_peak,,,,160.0
sel102,25,neurokit_dwt_ch1,250.0,157277,157298,157323,,,,0,unmatched_r_peak,,,,160.0
sel102,26,neurokit_dwt_ch1,250.0,158087,158117,158138,,,,0,unmatched_r_peak,,,,160.0
sel102,27,neurokit_dwt_ch1,250.0,158296,158315,158349,,,,0,unmatched_r_peak,,,,160.0
sel102,28,neurokit_dwt_ch1,250.0,158507,158531,158563,,,,0,unmatched_r_peak,,,,160.0
sel102,29,neurokit_dwt_ch1,250.0,158723,158755,158778,,,,0,unmatched_r_peak,,,,160.0
sel102,30,neurokit_dwt_ch1,250.0,158928,158950,158979,,,,0,unmatched_r_peak,,,,160.0
sel102,31,neurokit_dwt_ch1,250.0,159127,159154,159177,,,,0,unmatched_r_peak,,,,160.0
sel102,32,neurokit_dwt_ch1,250.0,159322,159356,159376,,,,0,unmatched_r_peak,,,,160.0
sel102,33,neurokit_dwt_ch1,250.0,159533,159562,159581,,,,0,unmatched_r_peak,,,,160.0
sel102,34,neurokit_dwt_ch1,250.0,160979,161009,161029,,,,0,unmatched_r_peak,,,,160.0
sel102,35,neurokit_dwt_ch1,250.0,161190,161223,161245,,,,0,unmatched_r_peak,,,,160.0
sel102,36,neurokit_dwt_ch1,250.0,162633,162655,162689,,,,0,unmatched_r_peak,,,,160.0
sel102,37,neurokit_dwt_ch1,250.0,162854,162869,162904,,,,0,unmatched_r_peak,,,,160.0
sel102,38,neurokit_dwt_ch1,250.0,163059,163082,163120,,,,0,unmatched_r_peak,,,,160.0
sel102,39,neurokit_dwt_ch1,250.0,163270,163291,163321,,,,0,unmatched_r_peak,,,,160.0
sel102,40,neurokit_dwt_ch1,250.0,163471,163494,163524,,,,0,unmatched_r_peak,,,,160.0
sel102,41,neurokit_dwt_ch1,250.0,163682,163699,163733,,,,0,unmatched_r_peak,,,,160.0
sel102,42,neurokit_dwt_ch1,250.0,163878,163907,163931,,,,0,unmatched_r_peak,,,,160.0
sel102,43,neurokit_dwt_ch1,250.0,164079,164108,164134,,,,0,unmatched_r_peak,,,,160.0
sel102,44,neurokit_dwt_ch1,250.0,164294,164316,164350,,,,0,unmatched_r_peak,,,,160.0
sel102,45,neurokit_dwt_ch1,250.0,164513,164530,164561,,,,0,unmatched_r_peak,,,,160.0
sel102,46,neurokit_dwt_ch1,250.0,164719,164736,164767,,,,0,unmatched_r_peak,,,,160.0
sel102,47,neurokit_dwt_ch1,250.0,164922,164944,164978,,,,0,unmatched_r_peak,,,,160.0
sel102,48,neurokit_dwt_ch1,250.0,165120,165144,165178,,,,0,unmatched_r_peak,,,,160.0
sel102,49,neurokit_dwt_ch1,250.0,165526,165549,165580,,,,0,unmatched_r_peak,,,,160.0
sel102,50,neurokit_dwt_ch1,250.0,168634,168652,168687,,,,0,unmatched_r_peak,,,,160.0
sel102,51,neurokit_dwt_ch1,250.0,168845,168867,168898,,,,0,unmatched_r_peak,,,,160.0
sel102,52,neurokit_dwt_ch1,250.0,169873,169899,169922,,,,0,unmatched_r_peak,,,,160.0
sel102,53,neurokit_dwt_ch1,250.0,170923,170956,170974,,,,0,unmatched_r_peak,,,,160.0
sel102,54,neurokit_dwt_ch1,250.0,171319,171348,171372,,,,0,unmatched_r_peak,,,,160.0
sel102,55,neurokit_dwt_ch1,250.0,171954,171982,172010,,,,0,unmatched_r_peak,,,,160.0
sel102,56,neurokit_dwt_ch1,250.0,172783,172806,172826,,,,0,unmatched_r_peak,,,,160.0
sel102,57,neurokit_dwt_ch1,250.0,172973,173006,173022,,,,0,unmatched_r_peak,,,,160.0
sel102,58,neurokit_dwt_ch1,250.0,175268,175308,175322,,,,0,unmatched_r_peak,,,,160.0
sel102,59,neurokit_dwt_ch1,250.0,175670,175699,175721,,,,0,unmatched_r_peak,,,,160.0
sel102,60,neurokit_dwt_ch1,250.0,176917,176958,176973,,,,0,unmatched_r_peak,,,,160.0
sel102,61,neurokit_dwt_ch1,250.0,178571,178610,178622,,,,0,unmatched_r_peak,,,,160.0
sel102,62,neurokit_dwt_ch1,250.0,181467,181494,181518,,,,0,unmatched_r_peak,,,,160.0
sel102,63,neurokit_dwt_ch1,250.0,182918,182951,182974,,,,0,unmatched_r_peak,,,,160.0
sel102,64,neurokit_dwt_ch1,250.0,183119,183146,183167,,,,0,unmatched_r_peak,,,,160.0
sel102,65,neurokit_dwt_ch1,250.0,183325,183352,183373,,,,0,unmatched_r_peak,,,,160.0
sel102,66,neurokit_dwt_ch1,250.0,184364,184392,184415,,,,0,unmatched_r_peak,,,,160.0
sel102,67,neurokit_dwt_ch1,250.0,185817,185848,185878,,,,0,unmatched_r_peak,,,,160.0
sel102,68,neurokit_dwt_ch1,250.0,186023,186044,186074,,,,0,unmatched_r_peak,,,,160.0
sel102,69,neurokit_dwt_ch1,250.0,186622,186657,186678,,,,0,unmatched_r_peak,,,,160.0
sel102,70,neurokit_dwt_ch1,250.0,187469,187493,187524,,,,0,unmatched_r_peak,,,,160.0
sel102,71,neurokit_dwt_ch1,250.0,189117,189147,189166,,,,0,unmatched_r_peak,,,,160.0
sel102,72,neurokit_dwt_ch1,250.0,190769,190792,190812,,,,0,unmatched_r_peak,,,,160.0
sel102,73,neurokit_dwt_ch1,250.0,191602,191645,191655,,,,0,unmatched_r_peak,,,,160.0
sel102,74,neurokit_dwt_ch1,250.0,191813,191849,191859,,,,0,unmatched_r_peak,,,,160.0
sel102,75,neurokit_dwt_ch1,250.0,194707,194753,194765,,,,0,unmatched_r_peak,,,,160.0
sel102,76,neurokit_dwt_ch1,250.0,194915,194953,194976,,,,0,unmatched_r_peak,,,,160.0
sel102,77,neurokit_dwt_ch1,250.0,196368,196406,196417,,,,0,unmatched_r_peak,,,,160.0
sel102,78,neurokit_dwt_ch1,250.0,196564,196603,196612,,,,0,unmatched_r_peak,,,,160.0
sel102,79,neurokit_dwt_ch1,250.0,201950,201983,201998,,,,0,unmatched_r_peak,,,,160.0
sel102,80,neurokit_dwt_ch1,250.0,205258,205299,205317,,,,0,unmatched_r_peak,,,,160.0
sel102,81,neurokit_dwt_ch1,250.0,205456,205498,205507,,,,0,unmatched_r_peak,,,,160.0
sel102,82,neurokit_dwt_ch1,250.0,220957,220986,221008,,,,0,unmatched_r_peak,,,,160.0
sel102,83,neurokit_dwt_ch1,250.0,223650,223681,223706,,,,0,unmatched_r_peak,,,,160.0
sel102,84,neurokit_dwt_ch1,250.0,224067,224092,224117,,,,0,unmatched_r_peak,,,,160.0
sel103,0,neurokit_dwt_ch0,250.0,150270,150280,150293,150281,150268,150292,1,,-8.0,-4.0,4.0,6.0
sel103,1,neurokit_dwt_ch0,250.0,150476,150489,150496,150487,150475,150498,1,,-4.0,8.0,12.0,6.0
sel103,2,neurokit_dwt_ch0,250.0,150684,150695,150702,150693,150681,150704,1,,-12.0,8.0,20.0,10.0
sel103,3,neurokit_dwt_ch0,250.0,150892,150904,150915,150902,150890,150913,1,,-8.0,-8.0,0.0,8.0
sel103,4,neurokit_dwt_ch0,250.0,151112,151125,151134,151123,151110,151134,1,,-8.0,0.0,8.0,4.0
sel103,5,neurokit_dwt_ch0,250.0,151332,151343,151352,151342,151329,151353,1,,-12.0,4.0,16.0,8.0
sel103,6,neurokit_dwt_ch0,250.0,151550,151566,151576,151565,151551,151576,1,,4.0,0.0,-4.0,2.0
sel103,7,neurokit_dwt_ch0,250.0,151780,151792,151802,151790,151777,151801,1,,-12.0,-4.0,8.0,8.0
sel103,8,neurokit_dwt_ch0,250.0,151985,151998,152003,151996,151984,152006,1,,-4.0,12.0,16.0,8.0
sel103,9,neurokit_dwt_ch0,250.0,152193,152203,152213,152202,152189,152213,1,,-16.0,0.0,16.0,8.0
sel103,10,neurokit_dwt_ch0,250.0,152398,152411,152419,152410,152397,152421,1,,-4.0,8.0,12.0,6.0
sel103,11,neurokit_dwt_ch0,250.0,152617,152629,152640,152628,152613,152639,1,,-16.0,-4.0,12.0,10.0
sel103,12,neurokit_dwt_ch0,250.0,152833,152848,152860,152846,152833,152857,1,,0.0,-12.0,-12.0,6.0
sel103,13,neurokit_dwt_ch0,250.0,153054,153061,153070,153059,153046,153070,1,,-32.0,0.0,32.0,16.0
sel103,14,neurokit_dwt_ch0,250.0,153270,153284,153291,153283,153269,153294,1,,-4.0,12.0,16.0,8.0
